Text,Bounding_Boxes
tocode,"[[2090.6025 1430.9229]
 [2158.5107 1430.9229]
 [2158.5107 1445.4746]
 [2090.6025 1445.4746]]"
pre,"[[2168.212  1430.9229]
 [2207.0166 1430.9229]
 [2207.0166 1445.4746]
 [2168.212  1445.4746]]"
balli,"[[2216.7178 1430.9229]
 [2274.9248 1430.9229]
 [2274.9248 1445.4746]
 [2216.7178 1445.4746]]"
refee,"[[3448.7666 1435.7734]
 [3506.9736 1435.7734]
 [3506.9736 1455.1758]
 [3448.7666 1455.1758]]"
inoosewer,"[[ 882.80664 1440.624  ]
 [ 984.66895 1440.624  ]
 [ 984.66895 1460.0264 ]
 [ 882.80664 1460.0264 ]]"
halittyps,"[[1018.62305 1440.624  ]
 [1105.9336  1440.624  ]
 [1105.9336  1460.0264 ]
 [1018.62305 1460.0264 ]]"
lpjd,"[[1299.957  1450.3252]
 [1348.4629 1450.3252]
 [1348.4629 1464.877 ]
 [1299.957  1464.877 ]]"
rcte,"[[1363.0146 1450.3252]
 [1416.3711 1450.3252]
 [1416.3711 1464.877 ]
 [1363.0146 1464.877 ]]"
tee,"[[1416.3711 1450.3252]
 [1464.877  1450.3252]
 [1464.877  1464.877 ]
 [1416.3711 1464.877 ]]"
refer,"[[2090.6025 1450.3252]
 [2158.5107 1450.3252]
 [2158.5107 1469.7275]
 [2090.6025 1469.7275]]"
tgall,"[[2158.5107 1450.3252]
 [2236.12   1450.3252]
 [2236.12   1469.7275]
 [2158.5107 1469.7275]]"
fte,"[[2464.0977 1460.0264]
 [2502.9023 1460.0264]
 [2502.9023 1474.5781]
 [2464.0977 1474.5781]]"
drawngs,"[[3448.7666 1460.0264]
 [3540.9277 1460.0264]
 [3540.9277 1474.5781]
 [3448.7666 1474.5781]]"
fof,"[[3555.4795 1460.0264]
 [3589.4336 1460.0264]
 [3589.4336 1474.5781]
 [3555.4795 1474.5781]]"
s,"[[3812.5605 1464.877 ]
 [3836.8135 1464.877 ]
 [3836.8135 1532.7852]
 [3812.5605 1532.7852]]"
oshftg,"[[2143.959  1469.7275]
 [2231.2695 1469.7275]
 [2231.2695 1489.1299]
 [2143.959  1489.1299]]"
eluees,"[[1324.21   1474.5781]
 [1406.6699 1474.5781]
 [1406.6699 1489.1299]
 [1324.21   1489.1299]]"
