Text,Bounding_Boxes
osaals,"[[1867.4756 2464.0977]
 [1959.6367 2464.0977]
 [1959.6367 2478.6494]
 [1867.4756 2478.6494]]"
fos,"[[1969.3379 2464.0977]
 [2008.1426 2464.0977]
 [2008.1426 2478.6494]
 [1969.3379 2478.6494]]"
soting,"[[4331.573  2464.0977]
 [4399.4814 2464.0977]
 [4399.4814 2478.6494]
 [4331.573  2478.6494]]"
deanrns,"[[2818.1904 2473.7988]
 [2910.3516 2473.7988]
 [2910.3516 2488.3506]
 [2818.1904 2488.3506]]"
fon,"[[2920.0527 2473.7988]
 [2958.8574 2473.7988]
 [2958.8574 2488.3506]
 [2920.0527 2488.3506]]"
fetoble,"[[4339.677  2483.6772]
 [4408.3545 2476.0466]
 [4410.425  2494.68  ]
 [4341.7476 2502.3108]]"
lns,"[[4447.9873 2478.6494]
 [4481.9414 2478.6494]
 [4481.9414 2493.2012]
 [4447.9873 2493.2012]]"
rtroeler,"[[4545.7153 2475.628 ]
 [4618.7524 2482.2678]
 [4617.1616 2499.7617]
 [4544.125  2493.1218]]"
peu,"[[1193.2441 2483.5   ]
 [1246.6006 2483.5   ]
 [1246.6006 2502.9023]
 [1193.2441 2502.9023]]"
coutled,"[[1295.1064 2483.5   ]
 [1392.1182 2483.5   ]
 [1392.1182 2502.9023]
 [1295.1064 2502.9023]]"
contmation,"[[1867.4756 2483.5   ]
 [1998.4414 2483.5   ]
 [1998.4414 2502.9023]
 [1867.4756 2502.9023]]"
euse,"[[4491.6426 2483.5   ]
 [4544.999  2483.5   ]
 [4544.999  2493.2012]
 [4491.6426 2493.2012]]"
conielaien,"[[2818.1904 2493.2012]
 [2944.3057 2493.2012]
 [2944.3057 2512.6035]
 [2818.1904 2512.6035]]"
ttle,"[[4370.378  2517.454 ]
 [4414.033  2517.454 ]
 [4414.033  2536.8564]
 [4370.378  2536.8564]]"
pro,"[[4283.0674 2522.3047]
 [4317.0215 2522.3047]
 [4317.0215 2541.707 ]
 [4283.0674 2541.707 ]]"
jec,"[[4317.0215 2522.3047]
 [4360.677  2522.3047]
 [4360.677  2541.707 ]
 [4317.0215 2541.707 ]]"
vine,"[[4321.872  2561.1094]
 [4418.884  2561.1094]
 [4418.884  2599.914 ]
 [4321.872  2599.914 ]]"
street,"[[4428.585  2556.2588]
 [4583.8037 2556.2588]
 [4583.8037 2599.914 ]
 [4428.585  2599.914 ]]"
vic,"[[4559.551  2599.914 ]
 [4632.3096 2599.914 ]
 [4632.3096 2648.42  ]
 [4559.551  2648.42  ]]"
heidelberg,"[[4278.217  2604.7646]
 [4535.298  2604.7646]
 [4535.298  2648.42  ]
 [4278.217  2648.42  ]]"
8084,"[[4642.0107 2604.7646]
 [4724.4707 2604.7646]
 [4724.4707 2648.42  ]
 [4642.0107 2648.42  ]]"
peree,"[[1877.1768 2755.1328]
 [1959.6367 2755.1328]
 [1959.6367 2779.3857]
 [1877.1768 2779.3857]]"
to,"[[1969.3379 2755.1328]
 [2003.292  2755.1328]
 [2003.292  2779.3857]
 [1969.3379 2779.3857]]"
ltvil,"[[2017.8438 2755.1328]
 [2076.0508 2755.1328]
 [2076.0508 2779.3857]
 [2017.8438 2779.3857]]"
drawinls,"[[2090.6025 2755.1328]
 [2226.419  2755.1328]
 [2226.419  2779.3857]
 [2090.6025 2779.3857]]"
fue,"[[2236.12   2755.1328]
 [2284.626  2755.1328]
 [2284.626  2779.3857]
 [2236.12   2779.3857]]"
hy,"[[4283.0674 2769.6846]
 [4355.826  2769.6846]
 [4355.826  2832.7422]
 [4283.0674 2832.7422]]"
dra,"[[4346.125  2769.6846]
 [4452.838  2769.6846]
 [4452.838  2827.8916]
 [4346.125  2827.8916]]"
ulic,"[[4447.9873 2769.6846]
 [4564.4014 2769.6846]
 [4564.4014 2832.7422]
 [4447.9873 2832.7422]]"
ser,"[[4574.1025 2769.6846]
 [4671.1143 2769.6846]
 [4671.1143 2827.8916]
 [4574.1025 2827.8916]]"
vices,"[[4666.2637 2769.6846]
 [4802.08   2769.6846]
 [4802.08   2827.8916]
 [4666.2637 2827.8916]]"
drawing,"[[3773.794  2778.7815]
 [3862.2747 2784.3118]
 [3861.0098 2804.545 ]
 [3772.5293 2799.0146]]"
conti,"[[1877.1768 2784.2363]
 [1945.085  2784.2363]
 [1945.085  2813.3398]
 [1877.1768 2813.3398]]"
inua,"[[1945.085  2784.2363]
 [2003.292  2784.2363]
 [2003.292  2813.3398]
 [1945.085  2813.3398]]"
tion,"[[2003.292  2784.2363]
 [2061.499  2784.2363]
 [2061.499  2813.3398]
 [2003.292  2813.3398]]"
of,"[[2071.2002 2784.2363]
 [2105.1543 2784.2363]
 [2105.1543 2813.3398]
 [2071.2002 2813.3398]]"
terrace,"[[2114.8555 2784.2363]
 [2231.2695 2784.2363]
 [2231.2695 2813.3398]
 [2114.8555 2813.3398]]"
and,"[[2240.9707 2784.2363]
 [2294.3271 2784.2363]
 [2294.3271 2813.3398]
 [2240.9707 2813.3398]]"
tie,"[[3885.3193 2784.2363]
 [3914.4229 2784.2363]
 [3914.4229 2798.788 ]
 [3885.3193 2798.788 ]]"
planter,"[[1877.1768 2818.1904]
 [1993.5908 2818.1904]
 [1993.5908 2852.1445]
 [1877.1768 2852.1445]]"
outlets,"[[2003.292  2818.1904]
 [2119.706  2818.1904]
 [2119.706  2852.1445]
 [2003.292  2852.1445]]"
basement,"[[4283.0674 2847.294 ]
 [4496.493  2847.294 ]
 [4496.493  2890.9492]
 [4283.0674 2890.9492]]"
level,"[[4511.045  2847.294 ]
 [4642.0107 2847.294 ]
 [4642.0107 2890.9492]
 [4511.045  2890.9492]]"
lepih,"[[4021.1357 2876.3975]
 [4079.3428 2876.3975]
 [4079.3428 2895.7998]
 [4021.1357 2895.7998]]"
icle,"[[4016.2852 2900.6504]
 [4059.9404 2900.6504]
 [4059.9404 2915.2021]
 [4016.2852 2915.2021]]"
sewer,"[[4278.217  2895.7998]
 [4418.884  2895.7998]
 [4418.884  2939.455 ]
 [4278.217  2939.455 ]]"
c,"[[4438.286  2900.6504]
 [4467.3896 2900.6504]
 [4467.3896 2934.6045]
 [4438.286  2934.6045]]"
stormw,"[[4477.091  2895.7998]
 [4651.712  2895.7998]
 [4651.712  2939.455 ]
 [4477.091  2939.455 ]]"
ater,"[[4651.712  2895.7998]
 [4758.425  2895.7998]
 [4758.425  2939.455 ]
 [4651.712  2939.455 ]]"
lrating,"[[3778.6633 2914.2957]
 [3867.1438 2919.826 ]
 [3865.8792 2940.059 ]
 [3777.3984 2934.5288]]"
mbe,"[[3909.5723 2915.2021]
 [3962.9287 2915.2021]
 [3962.9287 2934.6045]
 [3909.5723 2934.6045]]"
rote,"[[2134.2578 2968.5586]
 [2202.166  2968.5586]
 [2202.166  2997.662 ]
 [2134.2578 2997.662 ]]"
note,"[[1755.9121 2983.1104]
 [1823.8203 2983.1104]
 [1823.8203 3007.3633]
 [1755.9121 3007.3633]]"
gngwng,"[[4283.0674 2983.1104]
 [4365.5273 2983.1104]
 [4365.5273 3002.5127]
 [4283.0674 3002.5127]]"
tole,"[[4380.079  2983.1104]
 [4423.7344 2983.1104]
 [4423.7344 3002.5127]
 [4380.079  3002.5127]]"
fle,"[[2134.2578 3007.3633]
 [2173.0625 3007.3633]
 [2173.0625 3031.6162]
 [2134.2578 3031.6162]]"
sle,"[[2177.913  3007.3633]
 [2216.7178 3007.3633]
 [2216.7178 3031.6162]
 [2177.913  3031.6162]]"
suil,"[[2221.5684 3007.3633]
 [2260.373  3007.3633]
 [2260.373  3026.7656]
 [2221.5684 3026.7656]]"
aange,"[[2274.9248 3007.3633]
 [2362.2354 3007.3633]
 [2362.2354 3026.7656]
 [2274.9248 3026.7656]]"
stoemw,"[[2415.5918 3007.3633]
 [2507.753  3007.3633]
 [2507.753  3026.7656]
 [2415.5918 3026.7656]]"
er,"[[2517.454  3007.3633]
 [2546.5576 3007.3633]
 [2546.5576 3031.6162]
 [2517.454  3031.6162]]"
necten,"[[2585.3623 3007.3633]
 [2662.9717 3007.3633]
 [2662.9717 3026.7656]
 [2585.3623 3026.7656]]"
all,"[[1755.9121 3012.2139]
 [1789.8662 3012.2139]
 [1789.8662 3031.6162]
 [1755.9121 3031.6162]]"
tet,"[[1799.5674 3012.2139]
 [1867.4756 3012.2139]
 [1867.4756 3036.4668]
 [1799.5674 3036.4668]]"
els,"[[1877.1768 3007.3633]
 [1945.085  3007.3633]
 [1945.085  3055.8691]
 [1877.1768 3055.8691]]"
at,"[[1954.7861 3012.2139]
 [1983.8896 3012.2139]
 [1983.8896 3031.6162]
 [1954.7861 3031.6162]]"
ggolc,"[[4283.0674 3021.915 ]
 [4336.424  3021.915 ]
 [4336.424  3041.3174]
 [4283.0674 3041.3174]]"
afpedamale,"[[1755.9121 3031.6162]
 [1882.0273 3031.6162]
 [1882.0273 3051.0186]
 [1755.9121 3051.0186]]"
muet,"[[1940.2344 3031.6162]
 [1983.8896 3031.6162]
 [1983.8896 3055.8691]
 [1940.2344 3055.8691]]"
colnil,"[[2163.3613 3031.6162]
 [2236.12   3031.6162]
 [2236.12   3051.0186]
 [2163.3613 3051.0186]]"
leoal,"[[2245.8213 3031.6162]
 [2304.0283 3031.6162]
 [2304.0283 3051.0186]
 [2245.8213 3051.0186]]"
point,"[[2313.7295 3031.6162]
 [2367.086  3031.6162]
 [2367.086  3051.0186]
 [2313.7295 3051.0186]]"
discherge,"[[2405.8906 3031.6162]
 [2507.753  3031.6162]
 [2507.753  3051.0186]
 [2405.8906 3051.0186]]"
refee,"[[2522.3047 3031.6162]
 [2580.5117 3031.6162]
 [2580.5117 3051.0186]
 [2522.3047 3051.0186]]"
the,"[[2619.3164 3031.6162]
 [2653.2705 3031.6162]
 [2653.2705 3051.0186]
 [2619.3164 3051.0186]]"
aopon,"[[4278.217  3046.168 ]
 [4350.9756 3046.168 ]
 [4350.9756 3065.5703]
 [4278.217  3065.5703]]"
erfuned,"[[1789.8662 3055.8691]
 [1862.625  3055.8691]
 [1862.625  3070.421 ]
 [1789.8662 3070.421 ]]"
oia,"[[1872.3262 3055.8691]
 [1901.4297 3055.8691]
 [1901.4297 3070.421 ]
 [1872.3262 3070.421 ]]"
ete,"[[1901.4297 3055.8691]
 [1949.9355 3055.8691]
 [1949.9355 3075.2715]
 [1901.4297 3075.2715]]"
livil,"[[2129.4072 3055.8691]
 [2177.913  3055.8691]
 [2177.913  3075.2715]
 [2129.4072 3075.2715]]"
ehillneeee,"[[2182.7637 3055.8691]
 [2284.626  3055.8691]
 [2284.626  3075.2715]
 [2182.7637 3075.2715]]"
deelrentes,"[[2294.3271 3055.8691]
 [2401.04   3055.8691]
 [2401.04   3075.2715]
 [2294.3271 3075.2715]]"
lee,"[[4515.8955 3089.8232]
 [4554.7    3089.8232]
 [4554.7    3104.375 ]
 [4515.8955 3104.375 ]]"
oal,"[[4283.0674 3114.0762]
 [4331.573  3114.0762]
 [4331.573  3133.4785]
 [4283.0674 3133.4785]]"
so,"[[4501.3438 3114.0762]
 [4535.298  3114.0762]
 [4535.298  3138.329 ]
 [4501.3438 3138.329 ]]"
fidfect,"[[3768.9905 3142.067 ]
 [3847.6272 3148.1157]
 [3845.9438 3170.0002]
 [3767.3071 3163.9512]]"
bumte,"[[3851.3652 3143.1797]
 [3928.9746 3143.1797]
 [3928.9746 3162.582 ]
 [3851.3652 3162.582 ]]"
rorr,"[[4292.7686 3152.8809]
 [4346.125  3152.8809]
 [4346.125  3167.4326]
 [4292.7686 3167.4326]]"
pr,"[[4283.0674 3177.1338]
 [4317.0215 3177.1338]
 [4317.0215 3196.5361]
 [4283.0674 3196.5361]]"
lolf,"[[4554.7    3177.1338]
 [4608.0566 3177.1338]
 [4608.0566 3201.3867]
 [4554.7    3201.3867]]"
et,"[[4438.286  3230.4902]
 [4491.6426 3230.4902]
 [4491.6426 3254.7432]
 [4438.286  3254.7432]]"
fenision,"[[3793.1582 3235.3408]
 [3890.17   3235.3408]
 [3890.17   3254.7432]
 [3793.1582 3254.7432]]"
rlitbe,"[[4700.218  3240.1914]
 [4777.827  3240.1914]
 [4777.827  3259.5938]
 [4700.218  3259.5938]]"
h2,"[[4705.0684 3308.0996]
 [4802.08   3308.0996]
 [4802.08   3380.8584]
 [4705.0684 3380.8584]]"
dromarig,"[[4283.289  3343.802 ]
 [4366.709  3349.7603]
 [4365.453  3367.3408]
 [4282.033  3361.3823]]"
